"native","primary","early_language","general_1","general_2","stigma_resp_1","stigma_dist_1","stigma_resp_2","stigma_dist_2","stigma_dist_3","stigma_danger","check","stertyp_cmptition_1","stertyp_cmptition_2","concept_1","concept_2","concept_3","stertyp_comp_1","stertyp_warm_1","stertyp_status_1","stertyp_warm_2","stertyp_status_2","stertyp_comp_2","donate_1","donate_2","donate_3","familiar_1","familiar_2","like","like_fr","offens","offens_fr","impression_1","impression_2","impression_3","impression_3_4_TEXT","control_like","control_often","control_preference","empathy_1","empathy_2","empathy_3","political_social","political_econ","experience_1","experience_2","experience_3","demo_age","demo_gender","demo_education","demo_income","SliderOverlapValue","label","ppt_ID"
1,1,1,"Homeless are those who have unfortunate financial circumstances and/or mental health issues.  Usually related to drug abuse or family violence.","He would be friendly but shy to discuss circumstances.  Would likely ask for money but would not take true assistance - shelter, work, etc.",4,4,5,4,1,3,2,4,4,5,4,5,4,3,3,3,1,2,25,25,50,4,2,1,"Because the other phrase is just dancing around the description.  To me housing insecurity is being one check a way from being homeless.  They are two different things.",1,"Because it is factual nor are we dancing around the issue.","Those who have a stable income and home.","These are people that think giving a house to a homeless person is going to solve the mental illness/job loss/ and drug abuse.",1,NA,1,8,2,4,3,4,1,1,1,1,NA,38,2,4,4,51,"the homeless",11
1,1,1,"People who are homeless do not have owned property to live on. Associations of homeless can be ""dirty"" because of the lack of hygiene accessibility.","My boyfriends mother is a part of the homeless community.",1,1,5,5,5,1,2,1,1,1,2,5,4,4,2,4,1,1,33,33,34,5,5,2,"It puts emphasis on the fact that individuals do not currently have a home, whereas the term homeless contextually says that this is an individual that relates with being without a home.",2,"Because it focuses on the condition rather than relating the person with the condition.","Often they have been led to believe stereotypes and use that to justify ousting a group.","They typically understand that being without shelter is often not the fault of the individual suffering.",2,NA,6,8,3,5,5,5,7,7,1,1,NA,26,2,2,3,100,"the homeless",12
1,1,1,"Someone who has nowhere to regularly sleep at night, does not have somewhere to consistently receive mail or store their possessions.","There are many different types of homeless people and you cannot always tell someone is homeless by looking at them",1,2,5,5,5,1,2,1,1,2,3,2,3,4,2,3,1,2,40,20,40,5,5,1,"I have worked with homeless people in many settings and I know that 99% of them do not care what term is used, also i think they mean slightly different things",2,"It attempts to separate the human from the condition, but I also feel it is vague and overcomplicated","I dont have an opinion on that","I think it is a bit uppity, even as someone who considers themselves to be an SJW. I find people often use certain verbage to feel better about themselves, while not actually doing anything to help the community they are speaking of",3,NA,6,8,3,5,4,2,7,7,NA,1,NA,27,2,6,3,87,"the homeless",13
1,1,1,"People who experience housing insecurity often face uncertainty about their living situation, which can include frequent moves, overcrowding, or the threat of homelessness","
I imagine meeting someone who is resourceful and resilient, navigating life with limited stability. Perhaps they’re a single parent working multiple jobs to keep a roof over their family’s heads, a young adult couch-surfing while pursuing an education, or an older individual facing unexpected financial challenges.",4,2,5,5,5,2,2,1,3,2,4,4,3,3,2,3,1,2,50,25,25,3,3,1,"Housing insecurity could mean thoseclose to eviction, people struggling to pay rent and bills",2,"It's the pc term, which i fine, but it doesn't mean the same thing","It's the normalize term to use","i think they are younger, liberal and more thoughtful of how terms mean to people",2,NA,5,5,3,4,4,3,6,6,NA,NA,1,35,2,5,4,71,"people who experience housing insecurity",14
1,1,1,"Well, I'm homeless! I live in my car.","Me! That was easy. Adult female, disabled, cancer survivor, lost home due to SSDI denial and extraordinary fatigue.",1,1,5,5,5,1,2,1,3,2,4,5,4,4,3,4,1,3,80,10,10,5,5,1,"""people experiencing housing insecurity"" could include people facing eviction, for instance, which is entirely different than living in a car in a Planet Fitness parking lot, or in a tent under a bridge. Fully homeless is different!",1,"The terms do not fully encompass the same people. Therefore neither is really less or more offensive, this is apples and oranges.","""The homeless"" is still a bit othering. People experiencing homelessness is a bit better.","I'm not entirely sure which people they have in mind with that broad language, and am slightly annoyed at having to clarify.",4,"Homeless people",4,4,3,3,3,2,7,7,1,NA,NA,55,2,3,1,44,"the homeless",15
1,1,1,"I think about people that may have had bad luck, not enough resources, unemployment, and/or made bad decisions.","I imagine this person to be living a rough life. They may or may not be kind or resentful. They have a lot of obstacles in life.",4,2,5,4,5,2,2,1,1,4,3,2,2,3,2,3,1,2,30,35,35,5,4,2,"It sounds more polite and not as rough as ""homeless"".",2,"I find this term less offensive as it sounds ""cleaner"".","I don't perceive them in any way. They may not be educated enough to use alternate words to using the term ""homeless"".","It sounds better to use this term. The person who uses this term may be more educated or experienced.",2,NA,5,4,2,3,3,3,2,2,1,NA,NA,38,2,3,3,72,"people who experience housing insecurity",16
1,1,1,"People who are being taken advantage of by the government, banks, land owners.","They are the working poor. Worked all their lives trying to support their family but inflation is outstripping wages to such a massive degree people can't keep up",2,2,4,4,5,1,2,1,1,2,1,2,4,4,3,4,1,1,33,34,33,4,3,2,"I think it fits better with the increasing number of working poor that are temporarily without shelter.",2,"There is less stigma attached to it. When people hear homeless they think of people who refuse to work, drug addicts and people with mental health issues","That is the known term so I don't hold it against people, but I see the stigma attached to it","I think they are trying to be sensitive and humanize people who experience homelessness",2,NA,4,4,2,4,4,1,7,6,NA,1,NA,47,2,3,3,60,"people who experience housing insecurity",17
1,1,1,"People who experience house insecurities are primarily living from paycheck to paycheck or they're having a hard time finding somewhere stable to live.","They would be a normal person.",3,3,3,3,4,1,2,4,4,3,2,3,3,2,3,4,3,3,20,30,50,3,3,1,"It's straight to the point",2,"It sugars coats it to make it seem plausible.","Nothing really, I find them to be honest.","I find them to be careful with their words.",3,NA,4,4,2,4,4,4,5,4,1,NA,NA,28,2,5,3,53,"people who experience housing insecurity",18
1,1,1,"The homeless are people who are having a rough time of it because of finances or lack of a job or mental illness and obviously because of lack of a home. They need help.","They are unwell, but need help. They are dressed in layers.",1,3,4,3,4,2,2,3,3,4,3,3,4,4,4,4,4,4,35,35,30,5,3,1,"Because it already says what it needs to say. Using ""unhoused"" or the ""people who whatever it was"" is just overly wordy. Why does homeless need to be changed?",1,"It's fine. I don't see why we have to change it.","I think they're saying what needs to be say.","They want to be as progressive as possible and it's annoying.",3,NA,5,8,3,3,3,4,7,7,NA,NA,1,37,2,5,2,95,"the homeless",19
1,1,1,"what even is housing insecurity dude","I still dont know what that even is",3,3,4,3,3,1,2,1,1,3,1,2,3,2,3,3,2,3,40,35,25,4,1,1,"Because it makes more sense than ""housing insecurity""",2,"because its beating around the bush of the truth","people who dont have a place to stay","its confusing as hell and makes no sense",1,NA,3,4,2,3,2,2,4,5,NA,NA,1,20,2,2,2,100,"people who experience housing insecurity",20
1,1,1,"When I think of housing insecurity I think of someone or multiple people within the household that does not have a stable income,","A person who does not have consistent hours within their work so they do not have the same income when they get paid.",1,1,5,5,5,1,2,1,1,4,2,3,3,3,3,3,3,3,50,25,25,5,1,1,"I think because it is more familiar and not as vague as the other term.",2,"I think it is more proper sounding for those that don't want to say homeless.","I think that they are just familiar with the term. I do not think they are trying to be offensive.","They are wanting to be formal about the term and possibly don't those who are homeless to feel less than.",3,NA,4,8,3,3,1,1,7,6,1,NA,NA,37,2,3,2,NA,"people who experience housing insecurity",21
1,1,1,"I think about people who have untreated severe mental illness. They usually are unable to hold down a job which in turn can lead them to homelessness.","Honestly if this person is as I described they usually make me feel uneasy.  Due to there dirty or unkempt appearance or their behavior.",1,3,4,3,5,2,2,1,2,4,4,5,3,4,3,3,1,3,30,30,40,3,3,1,"It's not ambiguous.  ""Housing insecurity"" doesn't necessarily mean you are homeless.  ""Homeless"" it accurate.",1,"because it is truthful. If you do not have a place to call your own than you do not have a home.  Therefore you are homeless.","I perceive them normally. The name homeless isn't bad, it's what it is.","I think they are just going out of their way to be ""pc"" to the extent that it is annoying.  I'm liberal yet this make me think of the term for those who use ""housing insecurity""",3,NA,4,5,2,5,3,3,7,6,NA,NA,1,58,2,5,4,85,"people who experience housing insecurity",22
1,1,1,"he term ""the homeless"" often evokes thoughts of individuals or families without stable housing, living in shelters, on the streets, or in temporary arrangements.","I imagine meeting someone named Maria, a woman in her mid-30s who became homeless after losing her job during an economic downturn. She has a kind demeanor and a strong determination to rebuild her life but faces barriers like limited job opportunities and a lack of affordable housing. Maria carries a backpack with her essentials, uses local shelters for safety, and spends her days at a library where she applies for jobs and works on improving her skills.",5,4,3,5,4,3,2,5,5,1,1,1,4,2,4,4,3,5,25,50,25,3,3,1,"Because it is what I'm so familiar with",2,"People doesn't see it be worse like that","homeless may be perceived as viewing homelessness as a defining characteristic rather than recognizing the individuality and humanity of the people experiencing it, though their intent might simply be to reference a social issue without mali","Someone who uses the term ""people who experience housing insecurity"" is likely perceived as empathetic and mindful, focusing on the temporary nature of the situation and emphasizing the individuals' humanity rather than defining them by their circumstances.",2,NA,5,5,3,4,3,5,2,2,NA,1,NA,24,1,5,1,63,"the homeless",23
1,1,1,"I think about people that are down on their luck. I think about the fact that I don't know their story of why they are homeless. I know it is an uphill battle escaping homelessness.","They are typically wearing tattered/dirty clothes. Maybe unbathed/unkempt.",2,2,4,4,5,2,2,2,2,3,3,1,3,3,2,2,2,3,30,10,60,4,3,1,"It's more concise. Though I do understand that ""people experiencing housing insecurity"" is a way of using person first language.",2,"It is putting the person before their condition. Using ""homeless person"" indicates that homelessness is a key part of their identity","I do tend to interpret people that don't use person first language as more callous/uncaring","I feel like these people tend to be more educated and conscious of how the language they use impacts a group",2,NA,5,5,3,3,3,3,6,5,NA,NA,1,28,2,6,4,82,"the homeless",24
1,1,1,"People who have a lack of security in housing due to one reason or another.","This person is struggling to afford housing. Since minorities are disproportionately unhoused they may be of a racial minority.",2,1,5,4,5,1,2,1,1,2,3,4,5,5,5,5,3,3,100,0,0,5,3,2,"Homelessness implies that the person does not have a home in a way that dehumanizes the individual.",2,"Because it recognizes the individuals as people who are experiencing something rather than being defined entirely by a lack of housing.","Someone who may be ignorant or unaware of politically correct language.","A person who is empathetic and intelligent.",2,NA,7,8,3,5,5,5,7,7,NA,NA,1,56,2,5,5,47,"people who experience housing insecurity",25
1,1,1,"People with the fewest opportunity in life. Those who have had everything taken from them.","This is a person who is desperate to survive.",1,3,5,3,5,3,2,1,1,1,4,5,2,3,1,2,1,1,100,0,0,4,3,1,"The phrase is shorter and easier to say.",2,"This term can include others that wouldn't visibly be considered ""homeless""","It depends on the context of how they are saying it. If they are unkind, I will judge them negatively.","I assume they're either politically progressive or work directly with people.",2,NA,7,8,3,3,3,3,7,7,NA,1,NA,29,2,4,2,86,"the homeless",26
1,1,1,"I often associate homelessness with rock bottom. It sucks to think about how many people dont have homes and cant provide for themselves.","They have to find creative ways to feed themselves and shower. They don't havea  roof over their head at night. New clothes are scarce.",2,3,4,5,5,2,2,1,1,2,3,5,3,3,3,3,3,3,50,30,20,3,3,2,"I think it gives it more of a respectful tone. That it doesn't define who they are but something they are currently experiencing. It has a more hopeful feel to it.",2,"The homeless reduces these people down to their security. Im sure there are people that are homless that are also painters, or musicians but they never get called those names. They only get called homeless","Uneducated, some people just dont know better and need the opportunity to be corrected and shown a different perspective.","Respectful and compassionate. It shows that the person who use the term took the time to show an interest and care for people experiencing housing insecurity.",3,NA,7,9,3,3,5,4,7,7,NA,1,NA,23,2,3,3,89,"the homeless",27
1,1,1,"I think of people who are unemployed or underemployed, people with minimum wage or low paying jobs, struggling to make ends meet. People who live paycheck to paycheck who may be in danger of not being able to pay their rent or mortgage some months if other expenses come up.","This person could be just about anyone. There is really no typical type of person who experiences housing insecurity. But I could see them as being a young adult, hard working, doing the best they can.",1,1,5,5,5,1,2,1,1,2,1,4,4,4,4,4,3,4,25,25,50,5,3,2,"I prefer it because there are a lot of negative stereotypes and ideas associated with “the homeless,” and “people who experience housing insecurity” correctly makes it sound more like it is a situation that a person experiences, not defining the person themself.",2,"It is less offensive because instead of defining a person as “homeless”, which is a label with a lot of stereotypes and assumptions associated with it, it describes a situation that an individual is going through, and one that just about any individual could find themselves going through someday.","It is such a commonly used phrase that I wouldn’t necessarily think anything one way or another about someone who says it, but I would pay attention to whether they seem to be saying it with a sense of disgust or as if they’re looking down on unhoused people.","I would assume someone who uses this phrase is rather liberal in their philosophy and has compassion for people who experience housing insecurity, and thus is cautious and thoughtful about the way they describe certain groups of people.",2,NA,7,8,3,4,4,3,7,7,1,1,NA,38,2,4,3,24,"people who experience housing insecurity",28
1,1,1,"Section 8 and housing authorities","Welfare and a person that's in need of help finding housing",5,4,4,5,4,4,2,4,2,4,1,5,4,4,5,4,4,4,30,35,35,4,4,1,"I just grab someone in need and someone without shelter",2,"Cuz it makes you sound like you still love somebody and you aren't without","People who are in need and are in a homeless are on the street","I perceived them as people are down or out on the look",2,NA,6,8,3,4,4,5,3,5,NA,1,NA,40,1,2,3,69,"people who experience housing insecurity",29
1,1,1,"People with low incomes and who are systematically disadvantaged.","They have a low income and likely live in an area with a high housing cost.",2,1,5,5,5,1,2,1,1,3,3,2,3,5,3,4,2,2,34,33,33,5,4,2,"It's less stigmatizing and gives people a better understanding as to what is going on.",2,"It encompasses a larger group of people and puts things into perspective.","They may have stereotypes about people who experience a housing crisis.","They are likely less stigmatising and want to find a solution to the problem.",2,NA,4,5,2,4,3,1,5,5,1,NA,NA,29,1,3,3,75,"people who experience housing insecurity",30
1,1,1,"poor and unfortunate struggling people","no home, no job, no money, less hope",3,2,3,4,4,2,2,3,2,2,3,2,3,3,3,3,3,3,50,50,0,4,1,1,"it is straight and to the point",1,"the other term is fancy trying to make the situationseem less bads","truthful and straightforward","ignorant and uncaring jerks",1,NA,2,2,1,4,3,1,1,1,NA,1,NA,41,2,3,4,23,"the homeless",31
1,1,1,"When I hear the term people who experience housing insecurity, several associations come to mind:
1. Homelessness
2. Poverty
3. Vulnerability
4. Social isolation
5. Uncertainty
6. Limited access to resources and lots more.","The person has limited financial resources, making it difficult to afford housing, utilities, and other basic needs.",4,3,4,4,4,2,2,2,3,2,3,2,3,4,3,3,4,4,40,50,10,4,4,2,"I prefer the term because it sounds polite.",2,"It sounds very polite compared to ""Homeless""","I perceive it to be rude","I perceive it to be very polite and matured.",2,NA,6,8,3,4,3,1,1,1,NA,NA,1,23,1,6,4,85,"people who experience housing insecurity",32
1,1,1,"illegal immigrants. these are people who come from countries other than the USA illegally","a person from a less developed country who left their country in search for greener pastures but end up stranded in the USA. usually these people have minimal to no level of education",5,5,1,1,1,5,2,1,1,4,3,3,2,3,2,2,1,1,30,60,10,5,4,1,"homeless fits the description better as compared to housing insecurity",2,"people experiencing housing insecurities could be as a result of moving from one state to the other but not because one cannot afford housing.","i see that to be okay. it perfectly fits the descriptions","it shows a person passing through a phase of housing challenges due to factors beyond their control",1,NA,2,4,2,4,5,1,7,7,NA,NA,1,64,1,7,4,72,"people who experience housing insecurity",33
1,1,1,"I never heard of that term but it sounds like it could be homelessness","a homeless person? I dont know what it is so Im just guessing",1,1,4,5,5,1,2,1,1,1,1,4,4,4,4,4,4,4,50,50,0,5,1,2,"I never liked the term homeless so it just feels a bit less insulting",2,"Its not outright calling a person homeless so bluntly","I would assume its the only term that they know","I would describe them as considerate",2,NA,4,8,2,4,4,4,7,7,1,1,NA,43,2,3,3,100,"people who experience housing insecurity",34
1,1,1,"Not having a place to sleep, or live. A lot of Veterans are homeless.","They would b living in their car if the have one, or begging for money.",3,1,4,5,2,1,2,4,1,3,3,3,4,4,3,3,2,1,40,40,20,4,4,2,"Well are they without a home, or are they struggling to keep heir home.",2,"People often refer to ""the homeless"" as being a danger to themselves, and people around them, or as ""bums"". They think they are drug addicts, or always drinking","As someone who doesnt have a place to live, or shower","Someone who is struggling to keep their home, or the place where they have been staying.",3,NA,3,3,3,4,5,1,1,1,1,NA,NA,40,2,5,4,49,"the homeless",35
1,1,1,"I think of people who don't have a home. They may live on streets or bounce around various places like shelters.","This person is down on their luck. They may be an addict or have some kind of mental disability that prevents them from working. This person could also just be down on their luck.",2,3,5,3,4,3,2,1,4,4,4,4,3,3,3,3,1,2,0,0,100,5,5,2,"Someone can be housing insecure but still live within a shelter and/or consider it their home, at least temporarily.",2,"It better describes people. Some are more temporary than others.","I don't perceive them as anything based on this one thing.","Maybe a bit better informed than most.",3,NA,4,5,2,3,2,2,7,6,NA,NA,1,44,1,5,5,71,"the homeless",36
1,1,1,"People on the street, tents, poor, dirty are all things that come to mind when thinking of the homeless.","They're an older man in raggedly clothes with unwashed skin, and a hood over their head sitting on the street with their only belonging: a blanket.",2,3,3,4,3,2,2,2,1,3,4,3,2,3,2,3,1,2,35,35,30,4,4,1,"Because this term depicts a very particular type of person that experiences loss of house security.",2,"Homeless is often used in both positive and negative ways when the alternative, people who experience housing insecurity, is mostly positive.","I guess I perceive them as indifferent.","People that want to be politically correct but might lack authenticity.",2,NA,5,5,3,4,2,1,5,6,1,1,NA,36,1,2,2,36,"the homeless",37
1,1,1,"People without a home/house who live on streets and cars and hotels","For the most part the homeless I encounter unfortunately have mental health and illegal substance issues.  He is male 30-70, unwashed and sometimes having a conversation with no one
",2,4,5,2,4,3,2,1,1,2,4,5,4,4,3,4,1,2,50,50,0,4,4,1,"It's just less clunky but I'm well aware of the spectrum of people swept under this one title and how different their situations can be.  I don't really like making broad generalizations about those with no home",2,"To me this almost insinuates that the person has a home but is insecure about how long that situation might last.  It just sounds like as PC description that doesn't really get the exact issue across.","I generally don't think any less of the person saying it but it specifically brings to mind those living on the streets and in tent camps under the highway that aren't really connected to day to day life.  Not seeking jobs, turning down assistance","Stuffy and trying to be politically correct or literally speaking about someone who has a home but whose future is insecure (eviction, foreclosure, etc)",3,NA,6,8,3,4,3,3,6,5,NA,NA,1,48,2,6,4,61,"the homeless",38
1,1,1,"I think of the term homeless. I think of people who live on the street and visit shelters for resources.","They most likely don't have a job. They don't have a stable living situation. They probably don't even own a car. They probably carry all of their belongings with them.",3,3,4,4,5,3,2,4,2,2,3,3,3,3,2,4,1,3,0,0,100,4,3,1,"It's just more simple for me to say. It's what I've always heard. I've only recently begun hearing ""people who experience housing insecurity.""",2,"I think it sounds like a nicer way of saying that the person does not have stable housing.","Someone using that term does not bother me because I use it too. I think a lot of people have just always heard ""homeless"" being used and don't think of it as offensive.","I'm assuming that they're trying to be politically correct.",2,NA,2,4,2,3,4,4,1,1,NA,NA,1,28,2,5,1,28,"people who experience housing insecurity",39
1,4,1,"Pity, unwashed, dirty, drug addicts, veterans","They are using some sort of drugs and smell very bad",2,1,5,4,3,1,2,1,1,2,3,3,3,3,3,3,1,1,0,50,50,5,3,1,"It's easier for people to understand",1,"the other sounds too patronizing","I have no opinion about them based on that","I think they are trying too hard to be politically correct but mean well",2,NA,3,8,3,3,3,1,7,7,NA,NA,1,31,1,5,3,47,"the homeless",40
1,1,1,"People who are struggling to get by.","They could be nice but with housing insecurity it could deter their mood.",3,1,4,5,5,1,2,4,1,4,3,4,3,3,2,3,1,3,25,50,25,4,2,1,"It gets to the point, and gives the person a better understanding of who they are talking about.",2,"It's a fairer description and seems less aggressive","It doesn't really affect my outlook on the person","It doesn't affect my outlook on the person",1,NA,4,3,2,4,3,4,2,2,NA,NA,1,62,2,2,2,82,"people who experience housing insecurity",41
1,1,1,"I think of people without a home or many possessions. I think about people who must survive in the weather year round.","This person is without money or many possessions. This person at one point had a home and now they do not.",2,4,5,2,5,2,2,1,1,4,4,5,4,4,2,4,1,1,40,40,20,5,5,1,"I believe that the term housing insecurity is meant to make it easier for people to deal with the fact we have homeless and make it sound less serious.",1,"I do not think it is offensive at all. People without homes are homeless.","I perceive them fine, that is the way I would describe them as well.","I perceive them to be uncomfortable with the reality of homeless and wanting a more pleasant way to look at it.",1,NA,4,4,2,4,4,1,2,2,NA,NA,1,32,2,3,3,100,"the homeless",42
1,1,1,"Less privileged people that need help.","This person would appear devastated with dirty clothes and lots of luggage.",3,2,5,4,2,1,2,4,1,5,4,5,3,3,2,2,1,2,50,40,10,3,3,2,"This term well define the situation and make it more decent to say.",1,"The term 'homeless' if used for a person would make the person appear weird and seem to be more less than human.","Being rude and not giving the respect those people deserve.","Would sound polite and pay respect to the people.",2,NA,7,8,3,4,3,3,2,5,NA,NA,1,28,2,5,2,72,"the homeless",43
