StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,native,primary,early_language,consent,Prolific_ID,general_1,general_2,stigma_resp_1,stigma_dist_1,stigma_resp_2,stigma_dist_2,stigma_dist_3,stigma_danger,check,stertyp_cmptition_1,stertyp_cmptition_2,concept_1,concept_2,concept_3,stertyp_comp_1,stertyp_warm_1,stertyp_status_1,stertyp_warm_2,stertyp_status_2,stertyp_comp_2,donate_1,donate_2,donate_3,familiar_1,familiar_2,like,like_fr,offens,offens_fr,impression_1,impression_2,impression_3,impression_3_4_TEXT,control_like,control_often,control_preference,empathy_1,empathy_2,empathy_3,political_social,political_econ,experience_1,experience_2,experience_3,demo_age,demo_gender,demo_education,demo_income,comment,PROLIFIC_PID,Q_BallotBoxStuffing,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,not_pc_label,pc_label,SliderOverlapValue,label
2024-12-10 14:24:52,2024-12-10 14:38:10,0,23.123.211.202,100,797,1,2024-12-10 14:38:10,R_1puPVdWnGnMOIu6,,,,,35.5241,-97.6135,anonymous,EN,1,1,1,1,631ab79e8635a1df26319958,The associations that come to mind are soup kitchens and shelters,"I feel this person would probably be seen in old clothes, slightly dirty, and generally unkept",2,3,4,3,5,2,2,1,1,2,3,1,3,2,3,3,1,5,60,20,20,4,1,1,I prefer the term the homeless because its simply what i grew up with plus its a very general way of speaking about them so it sounds less bad in my opinion.,1,I think the homeless is less offensive because its a general way of referring to that community of people.,I view someone depending on what they say after using the words the homeless. I think the name has no issues however what you say after can.,"If someone used the term ""people who are experiencing housing insecurity"" around me i would be very confused and unsure what they were talking about.",1,,4,4,2,3,3,3,5,5,,1,,20,1,2,1,,631ab79e8635a1df26319958,,,,,,the homeless,people who experience housing insecurity,61,the homeless
2024-12-10 14:22:56,2024-12-10 14:38:36,0,47.219.80.95,100,940,1,2024-12-10 14:38:37,R_10TiKBnKbgZJD1t,,,,,30.1024,-95.2297,anonymous,EN,1,1,1,1,66ee186efc9a208ef9446a30,"Due to personal history, the first kind of person who comes to mind when hearing this is someone who has made poor decisions, trading housing security for immediate satisfaction in the form of vices. ","Desperate, trying to find some way of securing their immediate situation in the short term. They may also be trying to find ways to distract themselves from the situation.",4,2,3,4,4,2,2,2,2,2,3,2,4,2,2,3,2,2,50,40,10,4,1,1,"People who are experiencing housing insecurities is not as clear of a label. I could see that title applying to many people who are not currently homeless, whereas homeless is very clear on which subset of individuals it is referring to and what struggles they specifically are facing.",2,It's less embarrassing for the individual to phrase it as going through some insecurities as opposed to calling them homeless.,I've never thought of homeless as an offensive term before. As such I probably would not have had a second thought about someone using the term and it would not have affected my perception of them.,"I would probably think they're attempting to be kind by using a less embarrassing term and I would respect that. However, as previously said I do think that term is less clear on exactly who it is referring to.",3,,5,8,3,4,4,2,6,5,,1,,28,1,5,3,,66ee186efc9a208ef9446a30,,,,,,the homeless,people who experience housing insecurity,68,people who experience housing insecurity
2024-12-10 14:25:53,2024-12-10 14:39:13,0,98.186.219.123,100,799,1,2024-12-10 14:39:14,R_3dFmL4KKWOuLH1O,,,,,33.5594,-112.0902,anonymous,EN,1,1,1,1,641a43f78351cc4fefe31190,I think that lower income or renters are the ones who experiene this.,Middle income worker with both parents doing work just to get by.,2,1,3,5,5,1,2,3,3,4,1,4,4,4,4,4,4,4,5,10,85,5,5,1,"That explaines it. I thought housing insecurities makes it sound like those that do not have a secure home, IE: renters, or a job you could lose anytime, not people who are homeless.",1,"Because explaining what someone is can not be offensive.Its a fact, they do not have a current home. ",That they understand that this homeless person has no home to go to.,Someone full of fear that just does as told.,1,,4,4,2,4,4,5,2,2,,,1,49,2,3,3,no,641a43f78351cc4fefe31190,,,,,,the homeless,people who experience housing insecurity,48,people who experience housing insecurity
2024-12-10 14:31:44,2024-12-10 14:39:20,0,98.97.15.72,100,456,1,2024-12-10 14:39:20,R_1EyNhiz6s8f00Q9,,,,,41.8874,-87.6318,anonymous,EN,1,1,1,1,663b9711eeaf86f66ab2d784,Homeless are those who have unfortunate financial circumstances and/or mental health issues.  Usually related to drug abuse or family violence.,"He would be friendly but shy to discuss circumstances.  Would likely ask for money but would not take true assistance - shelter, work, etc.",4,4,5,4,1,3,2,4,4,5,4,5,4,3,3,3,1,2,25,25,50,4,2,1,Because the other phrase is just dancing around the description.  To me housing insecurity is being one check a way from being homeless.  They are two different things.,1,Because it is factual nor are we dancing around the issue.,Those who have a stable income and home.,These are people that think giving a house to a homeless person is going to solve the mental illness/job loss/ and drug abuse.,1,,1,8,2,4,3,4,1,1,1,1,,38,2,4,4,,663b9711eeaf86f66ab2d784,,,,,,the homeless,people who experience housing insecurity,51,the homeless
2024-12-10 14:29:39,2024-12-10 14:39:51,0,47.205.93.178,100,612,1,2024-12-10 14:39:52,R_7k2yseDGpOYEuzv,,,,,27.24,-82.4755,anonymous,EN,1,1,1,1,60cfdcfdf8a3c6c42dad17d3,"People who are homeless do not have owned property to live on. Associations of homeless can be ""dirty"" because of the lack of hygiene accessibility. ",My boyfriends mother is a part of the homeless community.,1,1,5,5,5,1,2,1,1,1,2,5,4,4,2,4,1,1,33,33,34,5,5,2,"It puts emphasis on the fact that individuals do not currently have a home, whereas the term homeless contextually says that this is an individual that relates with being without a home.",2,Because it focuses on the condition rather than relating the person with the condition.,Often they have been led to believe stereotypes and use that to justify ousting a group.,They typically understand that being without shelter is often not the fault of the individual suffering.,2,,6,8,3,5,5,5,7,7,1,1,,26,2,2,3,,60cfdcfdf8a3c6c42dad17d3,,,,,,the homeless,people who experience housing insecurity,100,the homeless
2024-12-10 14:36:31,2024-12-10 14:43:04,0,72.203.252.26,100,392,1,2024-12-10 14:43:04,R_1BSmKOEeMuH5QwV,,,,,33.3349,-111.817,anonymous,EN,1,1,1,1,5a5c23afe0cf3d0001268781,"Someone who has nowhere to regularly sleep at night, does not have somewhere to consistently receive mail or store their possessions.",There are many different types of homeless people and you cannot always tell someone is homeless by looking at them,1,2,5,5,5,1,2,1,1,2,3,2,3,4,2,3,1,2,40,20,40,5,5,1,"I have worked with homeless people in many settings and I know that 99% of them do not care what term is used, also i think they mean slightly different things",2,"It attempts to separate the human from the condition, but I also feel it is vague and overcomplicated",I dont have an opinion on that,"I think it is a bit uppity, even as someone who considers themselves to be an SJW. I find people often use certain verbage to feel better about themselves, while not actually doing anything to help the community they are speaking of",3,,6,8,3,5,4,2,7,7,,1,,27,2,6,3,,5a5c23afe0cf3d0001268781,,,,,,the homeless,people who experience housing insecurity,87,the homeless
2024-12-10 14:38:15,2024-12-10 14:43:26,0,216.59.88.94,100,310,1,2024-12-10 14:43:26,R_6pQnDHgxx3Qc8xQ,,,,,44.6996,-73.4473,anonymous,EN,1,1,1,1,570c12b272a70300085136c9,"People who experience housing insecurity often face uncertainty about their living situation, which can include frequent moves, overcrowding, or the threat of homelessness","
I imagine meeting someone who is resourceful and resilient, navigating life with limited stability. Perhaps they’re a single parent working multiple jobs to keep a roof over their family’s heads, a young adult couch-surfing while pursuing an education, or an older individual facing unexpected financial challenges. ",4,2,5,5,5,2,2,1,3,2,4,4,3,3,2,3,1,2,50,25,25,3,3,1,"Housing insecurity could mean thoseclose to eviction, people struggling to pay rent and bills",2,"It's the pc term, which i fine, but it doesn't mean the same thing",It's the normalize term to use,"i think they are younger, liberal and more thoughtful of how terms mean to people",2,,5,5,3,4,4,3,6,6,,,1,35,2,5,4,,570c12b272a70300085136c9,,,,,,the homeless,people who experience housing insecurity,71,people who experience housing insecurity
2024-12-10 14:34:36,2024-12-10 14:43:27,0,67.166.58.71,100,531,1,2024-12-10 14:43:28,R_3GkoeDC0M2XYeRS,,,,,39.6253,-104.7863,anonymous,EN,1,1,1,1,607897a566b792397d974201,"Well, I'm homeless! I live in my car.","Me! That was easy. Adult female, disabled, cancer survivor, lost home due to SSDI denial and extraordinary fatigue.",1,1,5,5,5,1,2,1,3,2,4,5,4,4,3,4,1,3,80,10,10,5,5,1,"""people experiencing housing insecurity"" could include people facing eviction, for instance, which is entirely different than living in a car in a Planet Fitness parking lot, or in a tent under a bridge. Fully homeless is different!",1,"The terms do not fully encompass the same people. Therefore neither is really less or more offensive, this is apples and oranges.","""The homeless"" is still a bit othering. People experiencing homelessness is a bit better.","I'm not entirely sure which people they have in mind with that broad language, and am slightly annoyed at having to clarify.",4,Homeless people,4,4,3,3,3,2,7,7,1,,,55,2,3,1,,607897a566b792397d974201,,,,,,the homeless,people who experience housing insecurity,44,the homeless
2024-12-10 14:38:58,2024-12-10 14:43:36,0,184.91.56.71,100,278,1,2024-12-10 14:43:36,R_3VnjOdpsfC1NOdr,,,,,29.3247,-81.051,anonymous,EN,1,1,1,1,662004840cf5731b955a2d0f,"I think about people that may have had bad luck, not enough resources, unemployment, and/or made bad decisions.",I imagine this person to be living a rough life. They may or may not be kind or resentful. They have a lot of obstacles in life.,4,2,5,4,5,2,2,1,1,4,3,2,2,3,2,3,1,2,30,35,35,5,4,2,"It sounds more polite and not as rough as ""homeless"".",2,"I find this term less offensive as it sounds ""cleaner"".","I don't perceive them in any way. They may not be educated enough to use alternate words to using the term ""homeless"".",It sounds better to use this term. The person who uses this term may be more educated or experienced.,2,,5,4,2,3,3,3,2,2,1,,,38,2,3,3,,662004840cf5731b955a2d0f,,,,,,the homeless,people who experience housing insecurity,72,people who experience housing insecurity
2024-12-10 14:36:07,2024-12-10 14:44:08,0,24.45.43.240,100,480,1,2024-12-10 14:44:08,R_5EkWkri4YfSNeCJ,,,,,40.1659,-74.2034,anonymous,EN,1,1,1,1,58eb85d75be00100013a6721,"People who are being taken advantage of by the government, banks, land owners.",They are the working poor. Worked all their lives trying to support their family but inflation is outstripping wages to such a massive degree people can't keep up,2,2,4,4,5,1,2,1,1,2,1,2,4,4,3,4,1,1,33,34,33,4,3,2,I think it fits better with the increasing number of working poor that are temporarily without shelter.,2,"There is less stigma attached to it. When people hear homeless they think of people who refuse to work, drug addicts and people with mental health issues","That is the known term so I don't hold it against people, but I see the stigma attached to it","I think they are trying to be sensitive and humanize people who experience homelessness ",2,,4,4,2,4,4,1,7,6,,1,,47,2,3,3,,58eb85d75be00100013a6721,,,,,,the homeless,people who experience housing insecurity,60,people who experience housing insecurity
2024-12-10 14:37:37,2024-12-10 14:44:14,0,108.83.166.60,100,396,1,2024-12-10 14:44:14,R_3G3aeynEpmjxESR,,,,,28.5177,-81.4508,anonymous,EN,1,1,1,1,6514d739f7568fe6b2ebbe35,People who experience house insecurities are primarily living from paycheck to paycheck or they're having a hard time finding somewhere stable to live.,They would be a normal person.,3,3,3,3,4,1,2,4,4,3,2,3,3,2,3,4,3,3,20,30,50,3,3,1,It's straight to the point,2,It sugars coats it to make it seem plausible.,"Nothing really, I find them to be honest.",I find them to be careful with their words.,3,,4,4,2,4,4,4,5,4,1,,,28,2,5,3,No,6514d739f7568fe6b2ebbe35,,,,,,the homeless,people who experience housing insecurity,53,people who experience housing insecurity
