"ppt_ID","label","general_1","general_2","like_fr","offens_fr","impression_1","impression_2","impression_3_4_TEXT","comment"
11,"the homeless","Homeless are those who have unfortunate financial circumstances and/or mental health issues.  Usually related to drug abuse or family violence.","He would be friendly but shy to discuss circumstances.  Would likely ask for money but would not take true assistance - shelter, work, etc.","Because the other phrase is just dancing around the description.  To me housing insecurity is being one check a way from being homeless.  They are two different things.","Because it is factual nor are we dancing around the issue.","Those who have a stable income and home.","These are people that think giving a house to a homeless person is going to solve the mental illness/job loss/ and drug abuse.",NA,NA
12,"the homeless","People who are homeless do not have owned property to live on. Associations of homeless can be ""dirty"" because of the lack of hygiene accessibility.","My boyfriends mother is a part of the homeless community.","It puts emphasis on the fact that individuals do not currently have a home, whereas the term homeless contextually says that this is an individual that relates with being without a home.","Because it focuses on the condition rather than relating the person with the condition.","Often they have been led to believe stereotypes and use that to justify ousting a group.","They typically understand that being without shelter is often not the fault of the individual suffering.",NA,NA
13,"the homeless","Someone who has nowhere to regularly sleep at night, does not have somewhere to consistently receive mail or store their possessions.","There are many different types of homeless people and you cannot always tell someone is homeless by looking at them","I have worked with homeless people in many settings and I know that 99% of them do not care what term is used, also i think they mean slightly different things","It attempts to separate the human from the condition, but I also feel it is vague and overcomplicated","I dont have an opinion on that","I think it is a bit uppity, even as someone who considers themselves to be an SJW. I find people often use certain verbage to feel better about themselves, while not actually doing anything to help the community they are speaking of",NA,NA
14,"people who experience housing insecurity","People who experience housing insecurity often face uncertainty about their living situation, which can include frequent moves, overcrowding, or the threat of homelessness","
I imagine meeting someone who is resourceful and resilient, navigating life with limited stability. Perhaps they’re a single parent working multiple jobs to keep a roof over their family’s heads, a young adult couch-surfing while pursuing an education, or an older individual facing unexpected financial challenges.","Housing insecurity could mean thoseclose to eviction, people struggling to pay rent and bills","It's the pc term, which i fine, but it doesn't mean the same thing","It's the normalize term to use","i think they are younger, liberal and more thoughtful of how terms mean to people",NA,NA
15,"the homeless","Well, I'm homeless! I live in my car.","Me! That was easy. Adult female, disabled, cancer survivor, lost home due to SSDI denial and extraordinary fatigue.","""people experiencing housing insecurity"" could include people facing eviction, for instance, which is entirely different than living in a car in a Planet Fitness parking lot, or in a tent under a bridge. Fully homeless is different!","The terms do not fully encompass the same people. Therefore neither is really less or more offensive, this is apples and oranges.","""The homeless"" is still a bit othering. People experiencing homelessness is a bit better.","I'm not entirely sure which people they have in mind with that broad language, and am slightly annoyed at having to clarify.","Homeless people",NA
16,"people who experience housing insecurity","I think about people that may have had bad luck, not enough resources, unemployment, and/or made bad decisions.","I imagine this person to be living a rough life. They may or may not be kind or resentful. They have a lot of obstacles in life.","It sounds more polite and not as rough as ""homeless"".","I find this term less offensive as it sounds ""cleaner"".","I don't perceive them in any way. They may not be educated enough to use alternate words to using the term ""homeless"".","It sounds better to use this term. The person who uses this term may be more educated or experienced.",NA,NA
17,"people who experience housing insecurity","People who are being taken advantage of by the government, banks, land owners.","They are the working poor. Worked all their lives trying to support their family but inflation is outstripping wages to such a massive degree people can't keep up","I think it fits better with the increasing number of working poor that are temporarily without shelter.","There is less stigma attached to it. When people hear homeless they think of people who refuse to work, drug addicts and people with mental health issues","That is the known term so I don't hold it against people, but I see the stigma attached to it","I think they are trying to be sensitive and humanize people who experience homelessness",NA,NA
18,"people who experience housing insecurity","People who experience house insecurities are primarily living from paycheck to paycheck or they're having a hard time finding somewhere stable to live.","They would be a normal person.","It's straight to the point","It sugars coats it to make it seem plausible.","Nothing really, I find them to be honest.","I find them to be careful with their words.",NA,NA
19,"the homeless","The homeless are people who are having a rough time of it because of finances or lack of a job or mental illness and obviously because of lack of a home. They need help.","They are unwell, but need help. They are dressed in layers.","Because it already says what it needs to say. Using ""unhoused"" or the ""people who whatever it was"" is just overly wordy. Why does homeless need to be changed?","It's fine. I don't see why we have to change it.","I think they're saying what needs to be say.","They want to be as progressive as possible and it's annoying.",NA,NA
20,"people who experience housing insecurity","what even is housing insecurity dude","I still dont know what that even is","Because it makes more sense than ""housing insecurity""","because its beating around the bush of the truth","people who dont have a place to stay","its confusing as hell and makes no sense",NA,NA
21,"people who experience housing insecurity","When I think of housing insecurity I think of someone or multiple people within the household that does not have a stable income,","A person who does not have consistent hours within their work so they do not have the same income when they get paid.","I think because it is more familiar and not as vague as the other term.","I think it is more proper sounding for those that don't want to say homeless.","I think that they are just familiar with the term. I do not think they are trying to be offensive.","They are wanting to be formal about the term and possibly don't those who are homeless to feel less than.",NA,NA
22,"people who experience housing insecurity","I think about people who have untreated severe mental illness. They usually are unable to hold down a job which in turn can lead them to homelessness.","Honestly if this person is as I described they usually make me feel uneasy.  Due to there dirty or unkempt appearance or their behavior.","It's not ambiguous.  ""Housing insecurity"" doesn't necessarily mean you are homeless.  ""Homeless"" it accurate.","because it is truthful. If you do not have a place to call your own than you do not have a home.  Therefore you are homeless.","I perceive them normally. The name homeless isn't bad, it's what it is.","I think they are just going out of their way to be ""pc"" to the extent that it is annoying.  I'm liberal yet this make me think of the term for those who use ""housing insecurity""",NA,NA
23,"the homeless","he term ""the homeless"" often evokes thoughts of individuals or families without stable housing, living in shelters, on the streets, or in temporary arrangements.","I imagine meeting someone named Maria, a woman in her mid-30s who became homeless after losing her job during an economic downturn. She has a kind demeanor and a strong determination to rebuild her life but faces barriers like limited job opportunities and a lack of affordable housing. Maria carries a backpack with her essentials, uses local shelters for safety, and spends her days at a library where she applies for jobs and works on improving her skills.","Because it is what I'm so familiar with","People doesn't see it be worse like that","homeless may be perceived as viewing homelessness as a defining characteristic rather than recognizing the individuality and humanity of the people experiencing it, though their intent might simply be to reference a social issue without mali","Someone who uses the term ""people who experience housing insecurity"" is likely perceived as empathetic and mindful, focusing on the temporary nature of the situation and emphasizing the individuals' humanity rather than defining them by their circumstances.",NA,NA
24,"the homeless","I think about people that are down on their luck. I think about the fact that I don't know their story of why they are homeless. I know it is an uphill battle escaping homelessness.","They are typically wearing tattered/dirty clothes. Maybe unbathed/unkempt.","It's more concise. Though I do understand that ""people experiencing housing insecurity"" is a way of using person first language.","It is putting the person before their condition. Using ""homeless person"" indicates that homelessness is a key part of their identity","I do tend to interpret people that don't use person first language as more callous/uncaring","I feel like these people tend to be more educated and conscious of how the language they use impacts a group",NA,NA
25,"people who experience housing insecurity","People who have a lack of security in housing due to one reason or another.","This person is struggling to afford housing. Since minorities are disproportionately unhoused they may be of a racial minority.","Homelessness implies that the person does not have a home in a way that dehumanizes the individual.","Because it recognizes the individuals as people who are experiencing something rather than being defined entirely by a lack of housing.","Someone who may be ignorant or unaware of politically correct language.","A person who is empathetic and intelligent.",NA,NA
26,"the homeless","People with the fewest opportunity in life. Those who have had everything taken from them.","This is a person who is desperate to survive.","The phrase is shorter and easier to say.","This term can include others that wouldn't visibly be considered ""homeless""","It depends on the context of how they are saying it. If they are unkind, I will judge them negatively.","I assume they're either politically progressive or work directly with people.",NA,NA
27,"the homeless","I often associate homelessness with rock bottom. It sucks to think about how many people dont have homes and cant provide for themselves.","They have to find creative ways to feed themselves and shower. They don't havea  roof over their head at night. New clothes are scarce.","I think it gives it more of a respectful tone. That it doesn't define who they are but something they are currently experiencing. It has a more hopeful feel to it.","The homeless reduces these people down to their security. Im sure there are people that are homless that are also painters, or musicians but they never get called those names. They only get called homeless","Uneducated, some people just dont know better and need the opportunity to be corrected and shown a different perspective.","Respectful and compassionate. It shows that the person who use the term took the time to show an interest and care for people experiencing housing insecurity.",NA,"thank you for letting me participate!"
28,"people who experience housing insecurity","I think of people who are unemployed or underemployed, people with minimum wage or low paying jobs, struggling to make ends meet. People who live paycheck to paycheck who may be in danger of not being able to pay their rent or mortgage some months if other expenses come up.","This person could be just about anyone. There is really no typical type of person who experiences housing insecurity. But I could see them as being a young adult, hard working, doing the best they can.","I prefer it because there are a lot of negative stereotypes and ideas associated with “the homeless,” and “people who experience housing insecurity” correctly makes it sound more like it is a situation that a person experiences, not defining the person themself.","It is less offensive because instead of defining a person as “homeless”, which is a label with a lot of stereotypes and assumptions associated with it, it describes a situation that an individual is going through, and one that just about any individual could find themselves going through someday.","It is such a commonly used phrase that I wouldn’t necessarily think anything one way or another about someone who says it, but I would pay attention to whether they seem to be saying it with a sense of disgust or as if they’re looking down on unhoused people.","I would assume someone who uses this phrase is rather liberal in their philosophy and has compassion for people who experience housing insecurity, and thus is cautious and thoughtful about the way they describe certain groups of people.",NA,NA
29,"people who experience housing insecurity","Section 8 and housing authorities","Welfare and a person that's in need of help finding housing","I just grab someone in need and someone without shelter","Cuz it makes you sound like you still love somebody and you aren't without","People who are in need and are in a homeless are on the street","I perceived them as people are down or out on the look",NA,NA
30,"people who experience housing insecurity","People with low incomes and who are systematically disadvantaged.","They have a low income and likely live in an area with a high housing cost.","It's less stigmatizing and gives people a better understanding as to what is going on.","It encompasses a larger group of people and puts things into perspective.","They may have stereotypes about people who experience a housing crisis.","They are likely less stigmatising and want to find a solution to the problem.",NA,NA
31,"the homeless","poor and unfortunate struggling people","no home, no job, no money, less hope","it is straight and to the point","the other term is fancy trying to make the situationseem less bads","truthful and straightforward","ignorant and uncaring jerks",NA,NA
32,"people who experience housing insecurity","When I hear the term people who experience housing insecurity, several associations come to mind:
1. Homelessness
2. Poverty
3. Vulnerability
4. Social isolation
5. Uncertainty
6. Limited access to resources and lots more.","The person has limited financial resources, making it difficult to afford housing, utilities, and other basic needs.","I prefer the term because it sounds polite.","It sounds very polite compared to ""Homeless""","I perceive it to be rude","I perceive it to be very polite and matured.",NA,"the survey was amazing"
33,"people who experience housing insecurity","illegal immigrants. these are people who come from countries other than the USA illegally","a person from a less developed country who left their country in search for greener pastures but end up stranded in the USA. usually these people have minimal to no level of education","homeless fits the description better as compared to housing insecurity","people experiencing housing insecurities could be as a result of moving from one state to the other but not because one cannot afford housing.","i see that to be okay. it perfectly fits the descriptions","it shows a person passing through a phase of housing challenges due to factors beyond their control",NA,NA
34,"people who experience housing insecurity","I never heard of that term but it sounds like it could be homelessness","a homeless person? I dont know what it is so Im just guessing","I never liked the term homeless so it just feels a bit less insulting","Its not outright calling a person homeless so bluntly","I would assume its the only term that they know","I would describe them as considerate",NA,NA
35,"the homeless","Not having a place to sleep, or live. A lot of Veterans are homeless.","They would b living in their car if the have one, or begging for money.","Well are they without a home, or are they struggling to keep heir home.","People often refer to ""the homeless"" as being a danger to themselves, and people around them, or as ""bums"". They think they are drug addicts, or always drinking","As someone who doesnt have a place to live, or shower","Someone who is struggling to keep their home, or the place where they have been staying.",NA,NA
36,"the homeless","I think of people who don't have a home. They may live on streets or bounce around various places like shelters.","This person is down on their luck. They may be an addict or have some kind of mental disability that prevents them from working. This person could also just be down on their luck.","Someone can be housing insecure but still live within a shelter and/or consider it their home, at least temporarily.","It better describes people. Some are more temporary than others.","I don't perceive them as anything based on this one thing.","Maybe a bit better informed than most.",NA,NA
37,"the homeless","People on the street, tents, poor, dirty are all things that come to mind when thinking of the homeless.","They're an older man in raggedly clothes with unwashed skin, and a hood over their head sitting on the street with their only belonging: a blanket.","Because this term depicts a very particular type of person that experiences loss of house security.","Homeless is often used in both positive and negative ways when the alternative, people who experience housing insecurity, is mostly positive.","I guess I perceive them as indifferent.","People that want to be politically correct but might lack authenticity.",NA,NA
38,"the homeless","People without a home/house who live on streets and cars and hotels","For the most part the homeless I encounter unfortunately have mental health and illegal substance issues.  He is male 30-70, unwashed and sometimes having a conversation with no one
","It's just less clunky but I'm well aware of the spectrum of people swept under this one title and how different their situations can be.  I don't really like making broad generalizations about those with no home","To me this almost insinuates that the person has a home but is insecure about how long that situation might last.  It just sounds like as PC description that doesn't really get the exact issue across.","I generally don't think any less of the person saying it but it specifically brings to mind those living on the streets and in tent camps under the highway that aren't really connected to day to day life.  Not seeking jobs, turning down assistance","Stuffy and trying to be politically correct or literally speaking about someone who has a home but whose future is insecure (eviction, foreclosure, etc)",NA,NA
39,"people who experience housing insecurity","I think of the term homeless. I think of people who live on the street and visit shelters for resources.","They most likely don't have a job. They don't have a stable living situation. They probably don't even own a car. They probably carry all of their belongings with them.","It's just more simple for me to say. It's what I've always heard. I've only recently begun hearing ""people who experience housing insecurity.""","I think it sounds like a nicer way of saying that the person does not have stable housing.","Someone using that term does not bother me because I use it too. I think a lot of people have just always heard ""homeless"" being used and don't think of it as offensive.","I'm assuming that they're trying to be politically correct.",NA,NA
40,"the homeless","Pity, unwashed, dirty, drug addicts, veterans","They are using some sort of drugs and smell very bad","It's easier for people to understand","the other sounds too patronizing","I have no opinion about them based on that","I think they are trying too hard to be politically correct but mean well",NA,NA
41,"people who experience housing insecurity","People who are struggling to get by.","They could be nice but with housing insecurity it could deter their mood.","It gets to the point, and gives the person a better understanding of who they are talking about.","It's a fairer description and seems less aggressive","It doesn't really affect my outlook on the person","It doesn't affect my outlook on the person",NA,NA
42,"the homeless","I think of people without a home or many possessions. I think about people who must survive in the weather year round.","This person is without money or many possessions. This person at one point had a home and now they do not.","I believe that the term housing insecurity is meant to make it easier for people to deal with the fact we have homeless and make it sound less serious.","I do not think it is offensive at all. People without homes are homeless.","I perceive them fine, that is the way I would describe them as well.","I perceive them to be uncomfortable with the reality of homeless and wanting a more pleasant way to look at it.",NA,NA
43,"the homeless","Less privileged people that need help.","This person would appear devastated with dirty clothes and lots of luggage.","This term well define the situation and make it more decent to say.","The term 'homeless' if used for a person would make the person appear weird and seem to be more less than human.","Being rude and not giving the respect those people deserve.","Would sound polite and pay respect to the people.",NA,NA
44,"people who experience housing insecurity","People who experience housing insecurity are likely economically disadvantaged. People who experience housing insecurity might be victims of systemic racism.","They might be a person from a disadvantaged background, down on their luck or between employment.","I feel there is less stigma attached, perhaps it would make people feel more likely to help?","Due to the unfair stigma and negative propaganda attached to the term ""homeless""","It would depend on the context of the term and they way they used it. If the term is used negatively or disparagingly, I might consider them a bit heartless.","I think it is a very sensitive way to refer to the situation/condition.",NA,NA
45,"people who experience housing insecurity","I see it all the time, they are people of color and immigrants. When they have to sleep out on the street behind buildings because the price to rent a place is unattainable. It is too expensive unless you put 4 people in one place I have seen. Also, people of color have a disadvantage because usually, they usually do not have a good credit score due to being charged more for things, including interest rates. Both of these groups do not get the advantage of rich people.","It is a hard-working family person. They are trying to make ends meet and a lot of time they have to carpool to get to work. They usually support a family. Some are combining 2 or 3 families to have a roof over their heads. They do not get overtime but work enough for it, but they usually are working 2 jobs. 
","Because it does not hit them while they are down. It still gives them a little dignity because many of them are trying but because of the cost of housing it is harder and they usually do not make enough, or they have health issues to where they can not make ends meet
","It does not belittle them. It is a phrase that they are working at housing security but have not been able to .","To me, it belittles them in showing that they are not trying. They want to be homeless, and those who have mental illness sometimes want to be because they give up on trying.","Some one that knows that at any time it could be us. It is a person that sees works can lift you up or keep you down. They are compassionate and see it for what it is.",NA,NA
46,"people who experience housing insecurity","I associate people who experience housing insecurity with people who have some form of unstable living situation such as homeless people, those unable to meet their rent requirements or those living in shanties.","This is a person who has an unstable job or no job at all. They are experiencing financial difficulties and can barely meet their basic needs such as food. This person lives in deplorable conditions in a shanty, may be couch surfing at a friends, living in their car or is basically homeless and living in the street.","It is a sensitive term to use.","It does not explicitly regard these individuals as lacking housing because their situation could change.","Using the term ""homeless"" is insensitive.","This person is respectful and considerate.",NA,NA
47,"the homeless","Sad and hopeless is often how I see homeless people feel.","They are usually dirty and scruffy looking. Unkept and desperate are also often qualities of the homeless unfortunately.","That's what I'm used to and I think people understand it better than the other term.","The other version just seems to be less of a fact and more of a putdown.","I perceive them neutrally, it's not that that would cause me to immediately view them differently.","The same way I suppose as someone who says ""the homeless"" because it's not necessary to be politically correct.",NA,NA
48,"the homeless","Down on their luck or people the system has failed.","probably someone wearing second or third hand clothes, hasn't taken a shower in awhile and depending on the circumstances is either on drugs or starving.","Because it's easier to say.","Because it just sounds pretentious and like your trying to dress something up.","A normal person who says it like it is.","A pretentious person trying really hard to avoid sounding offensive but does anyway.",NA,NA
49,"the homeless","Starving, drug addiction, abuse victims, liberal. I just think of all of those things, mostly liberal cities.","They smell rancid, they are begging me for money, they do not want food, just money to buy drugs.","Political correctness is a plague on the human soul.","Political correctness is a plague on the human soul.","I perceive this as the human way to use language.","Political correctness is a plague on the human soul.","Political correctness is a plague on the human soul.","political correctness is a plague on the human soul."
50,"the homeless","Homeless is someone that lives on the streets, and doesn't have a roof over their heads at night.  Some of these people have had a falling out in society due to unforeseen circumstances, such as losing a loved one or losing a job, and cant afford a place to live.  Others may have taken to drugs and/or alcohol and they have lost their way.","They are depressed and down on their luck.  They feel hopeless, and stuck in a vicious cycle.  Cant find work because they are homeless and cant make themselves presentable, and cant make themselves presentable because they are homeless","The homeless is easier to understand.  It is also a term that anyone that hears it knows what it means.","The other term sounds so politically correct it is offensive.  Homeless is an adjective, and is understandable","They sounds like an everyday person, not trying to be politically correct, and are just describing someone as they see it.","Sounds to me like they are using a fancy description to ""show"" that they care, when really they are just trying to be politically correct.",NA,NA
51,"the homeless","An extremely sad situation. There has to be an answwer to get people off the streets.","It is very possible they lost their job and one thing led to another. They need help.","Homeless means no home. Insecurity means they may not have a home in the near future","It simply says what it means.","As a normal every day person who dies not insist on rewriting the dictionary on a daily basis.","As a person who wants to cause utter confusion.",NA,NA
52,"the homeless","Homeless people are diverse and there is more than one reason for their situation.","This person likes to collect bottles to trade in for a few cents","it has less of a negative connotation","It does not define the people as much as their situation
","It makes me thing of shabbily dressed people who liv eon the streets. However there are fully employed and well dressed people who do not have a permanent home","I percieve them as activists who want to improve conditions for the homeless",NA,NA
53,"people who experience housing insecurity","These are people who are very much doubtfully and also need reassurances about their housing. These are people who needs constant talks about how it is supposed to be","This person is constantly a person who needs to be assured all the time and also needs to have a way out","People who do not have a place to call their own","They think it is wrong like that","this is a bad situation that must be looked  at","These people need reassurances from people they can trust",NA,"good"
54,"the homeless","Homeless people cannot afford a place to live on their own  -- sometimes for a short period, sometimes for years. The cause is frequently some kind of drug or alcohol addiction or psychiatric illness. Homeless people did not necessarily grow up in poverty, though that is sometimes the case. They tend to prefer more liberal cities where there are more services available to them, as well as more temperate climates, as they frequently have no shelter other than a tarp.  Many beg for money or food.","The person likely has shabby clothes and looks unkempt, having not had access to bathing facilities in some time. They are frequently seen at busy intersections with cardboard signs asking for food or money. I imagine the person to be dealing with an addiction or psychiatric issue, and estranged from their family and former friends.","I think people think of homeless as a longtime condition, when in fact some people have simply come upon hard times, or lost a job, or removed from their living situations for numerous reasons. There are services available to help them into recovery or temporary housing.","There can be many reasons for housing insecurity, whereas most people associate homelessness with either addiction or psychiatric issues.","As it has been the term most people have used for a very long time, I don't hold it against anyone.","This seems to be the current preferred terminology.  Descriptions come and go, and while this is a broader description, I imagine many people consider it ""woke.""",NA,NA
55,"the homeless","I associate the term ""homeless"" with a lack of money and having to live on the street/outside. I also think of a possible mental illness that could contribute to homelessness.","'- Most likely very poor
- Hungry
- May need clean clothes.","It is more concise and clear.","It is a bit more person-centered, whereas ""homeless"" could sound more demeaning.","Both terms get the point across, so it would have to depend on the context and tone of the person speaking. They could just be casually describing them, or using it in a derogatory sense.","They might be overly-cautious, but perhaps a bit more conscious about the indidivuals they are referring to.",NA,"n/a"
56,"people who experience housing insecurity","
People who experience housing insecurity often face uncertainty about where they will live, struggling with unstable or unsafe housing situations. The term evokes associations with financial hardship, vulnerability, resilience, community support, and systemic challenges. It also brings to mind individuals navigating homelessness, overcrowded living conditions, or the constant risk of eviction.","If I met someone experiencing housing insecurity, I would imagine they might feel stressed or worried about where they will live. I would want to be kind and understanding, knowing their situation could be caused by job loss, high costs, or other challenges. I would listen to their story and try to help or connect them to resources that could make their situation better.","I can understand the undertones and the contexts and situations are not a one-size-fits-all all behind it, but I get some other people can't.","Less years of negative connotations behind it, but I don't mind it.","I don't mind it, maybe they haven't heard the other way yet, I can hear how they say it to gage the meaning/intent behind their words.","They are careful with their words, which shows they want to avoid offending anyone—a thoughtful quality. However, I hope this doesn’t affect their ability to take decisive action. Real solutions require a balance between sensitivity and strong, effective decision-making.",NA,NA
57,"people who experience housing insecurity","They are at times depressed and unhappy in life.","This person is unfortunate, unhappy, and feels like going through a lot.","Homelessness refers to someone who is in most life's insecurities and has difficulty getting a house to bed resulting in sleeping on the street.","People who experience housing insecurities is an indirect way of homeless.","I feel pity and sad for the person.","It is normal to me . Maybe the person is making a point why she or he said that.",NA,NA
58,"people who experience housing insecurity","The mentally ill and drug users who don't have enough income to get into the cheapest housing or those who experience housing insecurity.","This person is poor and low educated. They have a hard time making valid connections with others.","It better describes the situation of the homeless and is easier to understand when communicating with others","There are less negative connotations associated with these choice of words","A normal person who isn't woke or hypersensitive.","A liberal or social justice warrior who has too much time on their hands.",NA,NA
59,"the homeless","Homeless refers to a condition where individuals lack a stable, safe and adequate place to live","This person is currently unemployed and has no where to live","I feel very bad when someone is called homeless","People don't actually pay attention to this term","I feel very bad when someone addresses another individual as homeless. its very heartbreaking","Sometimes people don't look down on you because they barely understand the term",NA,"this very educational"
60,"the homeless","People on the street who are unhoused, mentally unstable, and have substance abuse problems.","I picture them sitting on the sidewalk against a building. Dirty clothes and unkempt. Seems unpredictable.","It's easier to communicate, although it does carry a more negative connotation.","It suggests more of a struggle than just saying homeless","I don't see anything wrong with the term.","I think it sounds like a politician.",NA,NA
61,"the homeless","People down on their luck, likely suffering from undertreated mental illness.","Probably on the street, living in a tent or a community of other homeless people.","The homeless has more social negative connotation.","It doesn't carry the same negative connotation.","I don't perceive them in any special way, unless the context of their speech might lean otherwise.","They may be more informed about the struggles and causes.",NA,NA
62,"the homeless","I think of things like poverty, vulnerability, challenges. I see images of people living on the streets, in shelters.","This person lives on the street, and faces problems like poverty and unemployment.","It very succinctly conveys the lack of stable housing, making it effective for communication and raising awareness.","It accurately describes the condition of lacking stable housing without inherently assigning blame or judgement.","This person is typically just describing someone who lacks housing, which is neutral and accurate. However, some people might look at it like that person lacks awareness of other more modern terms.","Someone who uses these terms emphasize dignity and avoid defining individuals solely based on their circumstances.",NA,NA
63,"the homeless","I think they are lazy and don't want to work","they would be dirty and smell bad","that's what they are homeless","it sounds more like someone who need help temporarily","they are blunt and call things what they are","I think those people are trying to make the issue less of what it is",NA,NA
