"ppt_ID","label","demo_age","demo_gender","demo_education","demo_income","comment"
262,"The Homeless",36,2,5,3,"the questions about politically correct language were a little tough to answer, because i think people would differ in what exactly that means. i think i prefer ""politically correct"" language if i genuinely believe it's more truthful or kind, but i tend to have a distaste for it otherwise"
263,"The Homeless",40,1,3,3,NA
264,"The Homeless",40,1,5,5,NA
265,"Housing Insecurity",44,2,5,3,NA
266,"Housing Insecurity",63,2,5,3,NA
267,"The Homeless",45,2,6,4,"i enjoyed my time taking the survey."
268,"Housing Insecurity",56,2,5,4,NA
269,"Housing Insecurity",30,1,6,4,NA
270,"Housing Insecurity",21,1,2,3,"i wonder if you should define ""housing insecurity"". i didn't think it had any related meaning to ""homeless"" until the study started saying so."
271,"The Homeless",44,2,6,3,NA
272,"The Homeless",27,1,6,3,NA
273,"The Homeless",64,2,3,2,NA
274,"The Homeless",55,2,5,3,NA
275,"Housing Insecurity",46,1,5,4,NA
276,"Housing Insecurity",66,2,4,2,NA
277,"Housing Insecurity",47,1,5,4,NA
278,"The Homeless",79,2,4,1,NA
279,"The Homeless",26,4,5,1,NA
280,"The Homeless",25,1,3,2,NA
281,"Housing Insecurity",56,2,5,1,NA
282,"The Homeless",68,1,5,3,NA
283,"The Homeless",27,2,2,3,"thank you!"
284,"Housing Insecurity",72,1,5,3,NA
285,"The Homeless",52,1,3,2,"please put there is writing in the description on further studies. thank you."
286,"Housing Insecurity",31,2,5,4,NA
287,"Housing Insecurity",52,2,5,3,"n/a"
288,"The Homeless",49,2,6,4,NA
289,"Housing Insecurity",30,1,3,3,NA
291,"The Homeless",30,2,2,1,"this was a nice survey. thank you :)"
292,"Housing Insecurity",35,1,5,3,NA
293,"Housing Insecurity",48,1,6,4,NA
294,"The Homeless",38,1,6,4,NA
295,"Housing Insecurity",23,2,5,4,NA
296,"Housing Insecurity",22,1,4,2,NA
297,"The Homeless",22,1,3,2,NA
298,"The Homeless",52,2,5,1,NA
299,"The Homeless",21,1,5,3,NA
300,"The Homeless",46,2,5,2,NA
301,"The Homeless",59,1,4,3,NA
302,"The Homeless",50,2,6,3,NA
303,"Housing Insecurity",23,2,5,3,NA
304,"Housing Insecurity",31,1,5,5,NA
305,"The Homeless",54,2,6,2,NA
306,"Housing Insecurity",19,1,2,4,NA
307,"The Homeless",36,1,5,4,NA
308,"Housing Insecurity",41,1,3,2,NA
309,"Housing Insecurity",45,1,5,4,NA
310,"Housing Insecurity",56,2,3,2,NA
311,"Housing Insecurity",50,1,5,1,NA
312,"Housing Insecurity",38,2,3,2,NA
313,"Housing Insecurity",22,2,5,2,NA
315,"Housing Insecurity",53,1,4,1,NA
316,"Housing Insecurity",50,1,6,4,NA
317,"Housing Insecurity",66,2,6,4,NA
318,"Housing Insecurity",62,2,6,3,"thank you for researching this subject"
319,"The Homeless",54,1,1,4,NA
320,"Housing Insecurity",40,1,5,3,"i've very recently experienced housing insecurity and having to depend on help from friends/family due to multiple layoffs from jobs and stress that came with it. local social safety nets (like snap) weren't much help due to my local office having ""filing issues"" and postponing my benefits for months, so i also understand how easily help can fail those in need."
321,"The Homeless",28,3,2,1,NA
322,"Housing Insecurity",25,3,5,2,NA
323,"The Homeless",25,1,6,4,NA
324,"The Homeless",56,2,6,5,"this was an interesting, thought-provoking study. thank you!"
325,"The Homeless",55,2,5,2,NA
326,"Housing Insecurity",63,2,4,2,NA
328,"The Homeless",78,1,6,4,NA
329,"Housing Insecurity",56,1,2,2,NA
330,"Housing Insecurity",23,1,6,4,NA
331,"Housing Insecurity",60,2,5,3,NA
332,"Housing Insecurity",42,2,6,1,NA
333,"The Homeless",23,1,2,3,NA
334,"The Homeless",29,1,5,3,NA
335,"The Homeless",26,1,5,4,NA
336,"Housing Insecurity",19,2,5,3,NA
337,"Housing Insecurity",42,2,5,4,NA
338,"Housing Insecurity",25,2,3,1,NA
339,"Housing Insecurity",75,1,6,3,NA
340,"The Homeless",42,1,2,1,NA
341,"Housing Insecurity",30,1,5,3,NA
342,"The Homeless",43,1,4,3,"interesting study, thanks for letting me be a small part! i hate the idea of homelessness, and if i could wave a magic wand i would create housing for everyone in need. reality is, most individuals who are experiencing this are doing so because of an underlying issue (such as alcohol or drub addiction)it is tragic, but we have to figure that portion of the issue out first to help with the actual homlessness"
343,"The Homeless",33,2,5,4,NA
344,"Housing Insecurity",59,1,2,1,NA
345,"The Homeless",35,2,5,4,NA
346,"The Homeless",25,1,3,3,NA
347,"The Homeless",41,2,3,3,NA
348,"The Homeless",39,3,4,2,NA
349,"The Homeless",34,1,5,4,NA
350,"The Homeless",43,1,7,4,NA
351,"Housing Insecurity",37,1,7,4,NA
352,"The Homeless",27,2,4,3,"n/a"
353,"The Homeless",25,2,2,3,NA
354,"The Homeless",60,1,5,5,NA
356,"Housing Insecurity",22,1,4,2,NA
357,"Housing Insecurity",20,1,5,3,NA
358,"Housing Insecurity",39,1,5,3,NA
359,"Housing Insecurity",34,2,5,3,NA
360,"The Homeless",21,2,5,3,NA
361,"Housing Insecurity",28,1,6,4,NA
362,"The Homeless",21,1,5,4,NA
363,"Housing Insecurity",45,1,5,3,"thanks"
364,"Housing Insecurity",31,1,5,3,NA
365,"Housing Insecurity",28,2,5,3,NA
366,"The Homeless",77,2,3,1,NA
367,"The Homeless",43,1,4,3,NA
368,"Housing Insecurity",58,2,3,1,"thanks for allowing my participation in the study. happy holidays!"
369,"The Homeless",55,2,5,3,NA
370,"The Homeless",29,1,5,3,"i'm happy to help clarify any aspects or address any concerns you might have regarding the study on how labels affect perceptions of homelessness."
371,"The Homeless",33,2,5,3,NA
372,"The Homeless",27,1,6,3,NA
373,"Housing Insecurity",24,2,6,5,"i enjoyed this survey and would love to take part more"
374,"The Homeless",43,1,5,4,NA
375,"The Homeless",25,1,5,1,NA
376,"Housing Insecurity",22,1,3,3,"n/a"
377,"Housing Insecurity",41,2,6,3,NA
378,"Housing Insecurity",39,2,5,4,NA
379,"Housing Insecurity",29,1,3,3,"n/a"
380,"The Homeless",28,1,6,4,NA
381,"Housing Insecurity",24,2,5,3,NA
382,"Housing Insecurity",55,1,5,3,NA
383,"The Homeless",41,1,2,3,NA
384,"The Homeless",27,1,6,5,NA
385,"Housing Insecurity",46,2,7,2,NA
386,"The Homeless",46,1,6,4,NA
387,"The Homeless",31,1,5,2,NA
388,"The Homeless",33,1,2,2,NA
389,"Housing Insecurity",36,2,4,2,NA
390,"Housing Insecurity",49,2,6,4,NA
391,"Housing Insecurity",30,1,5,3,NA
392,"Housing Insecurity",39,2,5,3,NA
393,"The Homeless",32,1,5,3,"thank you!"
394,"Housing Insecurity",25,1,5,1,NA
395,"The Homeless",51,2,3,3,NA
396,"Housing Insecurity",52,1,2,2,NA
397,"Housing Insecurity",21,1,3,2,NA
398,"Housing Insecurity",26,1,3,1,NA
399,"Housing Insecurity",51,1,5,5,NA
